Valor do sinal,Temperatura,Umidade,Hora
0.025390625,_°C,_%,22:45:14
0.044921875,_°C,_%,22:45:29
-0.2421875,_°C,_%,22:45:44
-0.2421875,_°C,_%,22:45:59
0.068359375,_°C,_%,22:46:14
0.015625,_°C,_%,22:46:29
-0.23828125,_°C,_%,22:46:44
-0.19140625,_°C,_%,22:46:59
0.0625,_°C,_%,22:47:14
-0.044921875,_°C,_%,22:47:29
-0.248046875,_°C,_%,22:47:44
-0.10546875,_°C,_%,22:47:59
0.05078125,_°C,_%,22:48:14
-0.099609375,_°C,_%,22:48:29
-0.255859375,_°C,_%,22:48:44
-0.03515625,_°C,_%,22:48:59
-0.076171875,_°C,_%,22:49:14
-0.2421875,_°C,_%,22:49:29
-0.087890625,_°C,_%,22:49:44
0.0703125,_°C,_%,22:49:59
-0.150390625,_°C,_%,22:50:14
-0.240234375,_°C,_%,22:50:29
-0.0078125,_°C,_%,22:50:44
0.056640625,_°C,_%,22:50:59
-0.205078125,_°C,_%,22:51:14
-0.251953125,_°C,_%,22:51:29
0.0546875,_°C,_%,22:51:44
0.052734375,_°C,_%,22:51:59
-0.23828125,_°C,_%,22:52:14
-0.244140625,_°C,_%,22:52:29
0.068359375,_°C,_%,22:52:44
0.0390625,_°C,_%,22:52:59
-0.236328125,_°C,_%,22:53:14
-0.19140625,_°C,_%,22:53:29
0.05859375,_°C,_%,22:53:44
-0.02734375,_°C,_%,22:53:59
-0.251953125,_°C,_%,22:54:14
-0.109375,_°C,_%,22:54:29
0.0546875,_°C,_%,22:54:44
-0.091796875,_°C,_%,22:54:59
-0.25,_°C,_%,22:55:14
-0.046875,_°C,_%,22:55:29
0.060546875,_°C,_%,22:55:44
-0.1796875,_°C,_%,22:55:59
-0.23828125,_°C,_%,22:56:14
0.005859375,_°C,_%,22:56:29
0.0703125,_°C,_%,22:56:44
-0.23828125,_°C,_%,22:56:59
-0.04296875,_°C,_%,22:57:14
0.044921875,_°C,_%,22:57:29
-0.193359375,_°C,_%,22:57:44
-0.25390625,_°C,_%,22:57:59
0.048828125,_°C,_%,22:58:14
0.0546875,_°C,_%,22:58:29
-0.236328125,_°C,_%,22:58:44
-0.2421875,_°C,_%,22:58:59
0.0625,_°C,_%,22:59:14
0.048828125,_°C,_%,22:59:29
-0.25,_°C,_%,22:59:44
-0.197265625,_°C,_%,22:59:59
0.05078125,_°C,_%,23:00:14
-0.001953125,_°C,_%,23:00:29
-0.25390625,_°C,_%,23:00:44
-0.130859375,_°C,_%,23:00:59
0.01171875,_°C,_%,23:01:14
-0.10546875,_°C,_%,23:01:29
-0.24609375,_°C,_%,23:01:44
-0.0625,_°C,_%,23:01:59
0.068359375,_°C,_%,23:02:14
-0.1640625,_°C,_%,23:02:29
-0.236328125,_°C,_%,23:02:44
0.0,_°C,_%,23:02:59
0.072265625,_°C,_%,23:03:14
-0.2265625,_°C,_%,23:03:29
-0.2421875,_°C,_%,23:03:44
0.05859375,_°C,_%,23:03:59
0.0546875,_°C,_%,23:04:14
-0.23828125,_°C,_%,23:04:29
-0.240234375,_°C,_%,23:04:44
0.0703125,_°C,_%,23:04:59
0.0859375,_°C,_%,23:05:14
-0.23046875,_°C,_%,23:05:29
-0.18359375,_°C,_%,23:05:44
0.068359375,_°C,_%,23:05:59
-0.056640625,_°C,_%,23:06:14
-0.244140625,_°C,_%,23:06:29
-0.103515625,_°C,_%,23:06:44
0.052734375,_°C,_%,23:06:59
-0.111328125,_°C,_%,23:07:14
-0.255859375,_°C,_%,23:07:29
-0.029296875,_°C,_%,23:07:44
0.052734375,_°C,_%,23:07:59
-0.181640625,_°C,_%,23:08:14
-0.24609375,_°C,_%,23:08:29
0.029296875,_°C,_%,23:08:44
0.064453125,_°C,_%,23:08:59
-0.240234375,_°C,_%,23:09:14
-0.01953125,_°C,_%,23:09:29
0.056640625,_°C,_%,23:09:44
-0.212890625,_°C,_%,23:09:59
-0.25390625,_°C,_%,23:10:14
0.0546875,_°C,_%,23:10:29
0.05078125,_°C,_%,23:10:44
-0.23828125,_°C,_%,23:10:59
-0.24609375,_°C,_%,23:11:14
0.068359375,_°C,_%,23:11:29
0.033203125,_°C,_%,23:11:44
-0.244140625,_°C,_%,23:11:59
-0.193359375,_°C,_%,23:12:14
0.052734375,_°C,_%,23:12:29
-0.01953125,_°C,_%,23:12:44
-0.2578125,_°C,_%,23:12:59
-0.125,_°C,_%,23:13:14
0.041015625,_°C,_%,23:13:29
-0.09765625,_°C,_%,23:13:44
-0.251953125,_°C,_%,23:13:59
-0.044921875,_°C,_%,23:14:14
0.0625,_°C,_%,23:14:29
-0.173828125,_°C,_%,23:14:44
-0.236328125,_°C,_%,23:14:59
0.005859375,_°C,_%,23:15:14
0.0703125,_°C,_%,23:15:29
-0.236328125,_°C,_%,23:15:44
-0.2421875,_°C,_%,23:15:59
0.05078125,_°C,_%,23:16:14
0.056640625,_°C,_%,23:16:29
-0.24609375,_°C,_%,23:16:44
-0.234375,_°C,_%,23:16:59
0.03125,_°C,_%,23:17:14
-0.00390625,_°C,_%,23:17:29
-0.23828125,_°C,_%,23:17:44
-0.171875,_°C,_%,23:17:59
0.0703125,_°C,_%,23:18:14
-0.064453125,_°C,_%,23:18:29
-0.236328125,_°C,_%,23:18:44
-0.09765625,_°C,_%,23:18:59
0.0625,_°C,_%,23:19:14
-0.123046875,_°C,_%,23:19:29
-0.25,_°C,_%,23:19:44
-0.013671875,_°C,_%,23:19:59
0.05859375,_°C,_%,23:20:14
-0.18359375,_°C,_%,23:20:29
-0.25390625,_°C,_%,23:20:44
0.04296875,_°C,_%,23:20:59
-0.208984375,_°C,_%,23:21:14
-0.09765625,_°C,_%,23:21:29
0.052734375,_°C,_%,23:21:44
-0.111328125,_°C,_%,23:21:59
-0.255859375,_°C,_%,23:22:14
-0.029296875,_°C,_%,23:22:29
0.048828125,_°C,_%,23:22:44
-0.185546875,_°C,_%,23:22:59
-0.25,_°C,_%,23:23:14
0.02734375,_°C,_%,23:23:29
0.064453125,_°C,_%,23:23:44
-0.24609375,_°C,_%,23:23:59
-0.23828125,_°C,_%,23:24:14
0.046875,_°C,_%,23:24:29
0.0546875,_°C,_%,23:24:44
-0.2578125,_°C,_%,23:24:59
-0.212890625,_°C,_%,23:25:14
0.041015625,_°C,_%,23:25:29
-0.001953125,_°C,_%,23:25:44
-0.24609375,_°C,_%,23:25:59
-0.154296875,_°C,_%,23:26:14
0.06640625,_°C,_%,23:26:29
-0.08203125,_°C,_%,23:26:44
-0.23828125,_°C,_%,23:26:59
-0.095703125,_°C,_%,23:27:14
0.068359375,_°C,_%,23:27:29
-0.150390625,_°C,_%,23:27:44
-0.24609375,_°C,_%,23:27:59
-0.01171875,_°C,_%,23:28:14
0.052734375,_°C,_%,23:28:29
-0.201171875,_°C,_%,23:28:44
-0.255859375,_°C,_%,23:28:59
0.025390625,_°C,_%,23:29:14
0.041015625,_°C,_%,23:29:29
-0.23828125,_°C,_%,23:29:44
-0.24609375,_°C,_%,23:29:59
0.068359375,_°C,_%,23:30:14
0.033203125,_°C,_%,23:30:29
-0.244140625,_°C,_%,23:30:44
-0.193359375,_°C,_%,23:30:59
0.0546875,_°C,_%,23:31:14
-0.021484375,_°C,_%,23:31:29
-0.255859375,_°C,_%,23:31:44
-0.1171875,_°C,_%,23:31:59
0.052734375,_°C,_%,23:32:14
-0.091796875,_°C,_%,23:32:29
-0.248046875,_°C,_%,23:32:44
-0.0546875,_°C,_%,23:32:59
0.048828125,_°C,_%,23:33:14
-0.185546875,_°C,_%,23:33:29
-0.240234375,_°C,_%,23:33:44
0.01171875,_°C,_%,23:33:59
0.0703125,_°C,_%,23:34:14
-0.236328125,_°C,_%,23:34:29
-0.236328125,_°C,_%,23:34:44
0.052734375,_°C,_%,23:34:59
0.05859375,_°C,_%,23:35:14
-0.25,_°C,_%,23:35:29
-0.228515625,_°C,_%,23:35:44
0.0625,_°C,_%,23:35:59
0.0078125,_°C,_%,23:36:14
-0.236328125,_°C,_%,23:36:29
-0.1796875,_°C,_%,23:36:44
0.0703125,_°C,_%,23:36:59
-0.052734375,_°C,_%,23:37:14
-0.240234375,_°C,_%,23:37:29
-0.09765625,_°C,_%,23:37:44
0.0625,_°C,_%,23:37:59
-0.1328125,_°C,_%,23:38:14
-0.24609375,_°C,_%,23:38:29
-0.013671875,_°C,_%,23:38:44
